Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose
12/26/2020,Carbon,34,,,
06/14/2022,Sullivan,,,2,6
12/26/2020,Clearfield,3,,,
12/26/2020,Cumberland,49,,,
04/20/2021,Montgomery,5411,4999,,
03/10/2021,Bradford,61,315,,
12/26/2020,Fayette,3,,,
12/26/2020,Fulton,1,,,
12/26/2020,Greene,3,,,
12/26/2020,Indiana,3,,,
12/26/2020,Juniata,6,,,
12/26/2020,Lackawanna,129,,,
12/26/2020,Lancaster,159,,,
12/26/2020,Lawrence,3,,,
01/19/2021,Erie,509,425,,
12/26/2020,Luzerne,145,,,
12/26/2020,Lycoming,4,,,
12/26/2020,Mercer,1,,,
12/26/2020,Mifflin,14,,,
12/26/2020,Monroe,33,,,
05/07/2021,Out-of-State,1661,2865,,
06/18/2022,Beaver,4,8,3,14
12/26/2020,Northumberland,36,,,
12/26/2020,Perry,1,,,
06/07/2022,York,28,32,70,321
12/26/2020,Pike,3,,,
12/26/2020,Schuylkill,100,,,
12/26/2020,Snyder,12,,,
12/26/2020,Somerset,1,,,
12/26/2020,Sullivan,1,,,
12/26/2020,Susquehanna,2,,,
12/26/2020,Tioga,2,,,
12/26/2020,Union,21,,,
12/26/2020,Washington,116,,,
12/26/2020,Wyoming,12,,,
12/26/2020,York,236,,,
12/27/2020,Adams,11,,,
12/27/2020,Armstrong,3,,,
12/27/2020,Beaver,12,,,
10/21/2021,Montgomery,475,283,1575,
12/27/2020,Bradford,3,,,
12/27/2020,Butler,27,,,
12/27/2020,Cambria,2,,,
12/27/2020,Carbon,21,,,
12/27/2020,Centre,18,,,
11/25/2021,Out-of-State,33,11,18,
12/27/2020,Clearfield,3,,,
12/27/2020,Clinton,1,,,
12/27/2020,Columbia,48,,,
05/31/2022,Columbia,2,7,4,29
05/27/2022,Cumberland,58,66,85,226
12/27/2020,Erie,1,,,
12/27/2020,Fayette,3,,,
12/27/2020,Franklin,1,,,
12/27/2020,Fulton,1,,,
12/27/2020,Huntingdon,4,,,
12/27/2020,Indiana,1,,,
12/27/2020,Juniata,3,,,
12/07/2021,Westmoreland,307,275,966,
12/27/2020,Lawrence,2,,,
01/30/2022,Lancaster,84,64,126,
10/23/2021,Out-of-State,701,159,320,
12/27/2020,Lycoming,10,,,
12/27/2020,Mercer,2,,,
12/27/2020,Mifflin,12,,,
06/17/2022,Beaver,8,8,24,34
03/11/2022,Luzerne,29,38,59,
12/27/2020,Northumberland,57,,,
12/27/2020,Perry,2,,,
05/22/2021,Clearfield,61,94,,
06/13/2022,Beaver,16,16,11,47
12/27/2020,Schuylkill,66,,,
12/27/2020,Snyder,17,,,
12/27/2020,Susquehanna,32,,,
12/27/2020,Tioga,3,,,
12/27/2020,Union,26,,,
12/27/2020,Washington,54,,,
01/01/2022,Somerset,6,9,11,
05/11/2022,Westmoreland,30,37,58,270
12/27/2020,Wyoming,6,,,
05/13/2021,Washington,471,823,,
08/31/2021,Lycoming,65,91,13,
08/21/2021,Lancaster,250,230,47,
12/28/2020,Armstrong,114,,,
12/28/2020,Beaver,204,,,
12/28/2020,Bedford,62,,,
03/04/2021,Susquehanna,110,147,,
12/28/2020,Bradford,133,,,
12/30/2021,Northampton,336,211,800,
02/28/2021,Huntingdon,31,36,,
03/23/2022,Washington,23,31,46,
12/28/2020,Cameron,2,,,
07/21/2021,Cambria,71,57,,
07/03/2022,Schuylkill,1,2,2,4
05/24/2021,Luzerne,491,597,,
12/28/2020,Clarion,47,,,
12/28/2020,Clearfield,90,,,
12/28/2020,Clinton,20,,,
12/28/2020,Columbia,132,,,
12/28/2020,Crawford,135,,,
04/20/2021,Somerset,195,490,,
08/01/2021,Washington,56,45,,
12/28/2020,Elk,68,,,
12/28/2020,Fayette,244,,,
12/28/2020,Forest,6,,,
06/04/2021,Lackawanna,214,752,,
12/28/2020,Fulton,5,,,
12/28/2020,Greene,20,,,
02/16/2021,Adams,176,106,,
12/28/2020,Indiana,112,1,,
12/28/2020,Jefferson,69,,,
12/28/2020,Juniata,8,,,
10/25/2021,Lebanon,116,56,397,
12/28/2020,Lawrence,152,,,
01/16/2022,Lycoming,14,7,26,
04/29/2022,Monroe,23,25,46,132
12/28/2020,Mercer,164,,,
05/23/2022,Erie,42,47,62,181
05/07/2022,Wyoming,1,4,4,8
05/09/2022,Warren,1,4,7,44
12/28/2020,Montour,131,,,
12/14/2021,Clinton,31,20,77,
06/24/2021,Wyoming,14,21,,
12/28/2020,Perry,30,,,
06/02/2021,Butler,308,558,,
12/28/2020,Pike,29,,,
05/06/2022,Northampton,42,30,61,384
05/12/2022,Centre,23,13,19,127
06/02/2021,Philadelphia,2621,3727,,
02/10/2021,Lawrence,414,121,,
04/05/2022,Allegheny,210,286,347,1535
01/04/2022,Lehigh,439,225,997,
12/28/2020,Tioga,167,,,
06/03/2022,Clinton,4,4,3,17
12/08/2021,Lawrence,89,47,186,
12/28/2020,Warren,18,,,
01/16/2022,Beaver,41,29,73,
12/28/2020,Wayne,98,,,
06/07/2021,Union,21,74,,
05/05/2021,Lehigh,901,1883,,
11/10/2021,Clearfield,77,40,356,
05/15/2022,Snyder,1,,,5
11/13/2021,Dauphin,275,80,466,
12/29/2020,Armstrong,232,,,
11/01/2021,Montgomery,976,422,4170,
12/29/2020,Bedford,18,,,
12/29/2020,Blair,172,,,
04/30/2021,Huntingdon,93,122,,
09/17/2021,Lycoming,89,114,7,
10/23/2021,Lackawanna,122,79,1167,
12/29/2020,Cameron,6,,,
12/29/2020,Carbon,220,,,
10/25/2021,Elk,21,19,110,
01/15/2021,Perry,43,2,,
12/29/2020,Clarion,111,,,
12/29/2020,Clearfield,140,,,
12/29/2020,Clinton,19,,,
06/14/2021,Northampton,168,366,,
11/04/2021,Northampton,208,100,926,
02/18/2021,Erie,1401,812,,
12/29/2020,Elk,72,,,
02/18/2022,Berks,119,151,188,
12/29/2020,Forest,6,,,
12/29/2020,Franklin,265,,,
12/29/2020,Fulton,3,,,
12/29/2020,Greene,35,,,
12/29/2020,Huntingdon,25,,,
12/29/2020,Indiana,128,,,
12/29/2020,Jefferson,21,,,
12/29/2020,Juniata,17,,,
06/04/2022,Out-of-State,101,52,21,20
06/29/2021,Pike,24,79,,
04/27/2021,Lawrence,267,486,,
02/22/2021,Lehigh,742,1108,,
02/14/2021,Adams,32,13,,
12/29/2020,Mckean,80,,,
04/06/2022,Bedford,5,7,4,19
12/29/2020,Mifflin,64,,,
12/29/2020,Monroe,136,,,
06/09/2021,Greene,43,131,,
08/19/2021,Clearfield,57,46,13,
06/18/2022,Somerset,,1,3,1
06/09/2021,Union,16,69,,
12/29/2020,Perry,18,,,
02/26/2021,Crawford,64,96,,
12/29/2020,Pike,95,1,,
12/29/2020,Snyder,42,,,
12/29/2020,Sullivan,5,,,
12/29/2020,Susquehanna,81,,,
12/29/2020,Venango,80,,,
12/29/2020,Warren,15,,,
05/16/2022,Schuylkill,10,6,13,55
12/29/2020,Wayne,42,,,
12/29/2020,Wyoming,30,,,
04/15/2021,Montour,65,118,,
06/17/2021,Luzerne,324,601,,
